"cid","appName","mechanism","version_n","vul_n","start","exploit","t50","t90","t95","mu","sigma","r2"
"MS08-026","msword","PI",176,2,135,FALSE,49,166,234,0.0156530099214335,0.00314786249426882,0.886642853737489
"MS08-042","msword","PI",42,1,227,FALSE,61,357,671,-0.00139999074043123,-0.00033108075890016,0.490396840588467
"MS08-072","msword","PI",184,8,344,TRUE,5,130,135,0.118466216656271,0.0122473797622902,0.995775404255707
"MS09-027","msword","PI",221,2,526,TRUE,69,473,696,0.0838830064062424,0.00851915523635519,0.993941356496929
"MS09-068","msword","PI",48,1,680,FALSE,8,1086,Inf,0.112588348645363,0.0119115580625446,0.993803381968768
"MS10-036","msword","PI",38,1,890,FALSE,66,545,786,0.0677977526197573,0.00662784407754077,0.996749086939439
"MS10-056","msword","PI",67,4,953,TRUE,43,569,864,0.0868042076040908,0.00846387125491996,0.996861939992553
"MS10-079","msword","PI",83,11,983,FALSE,61,445,616,0.0133800045909283,0.00392408312929596,0.972590838138449
"MS12-029","msword","PI",47,1,1584,FALSE,29,Inf,Inf,0.0107385180652691,-0.00360568562746161,0.99171023228544
"MS12-064","msword","PI",66,2,1739,FALSE,17,Inf,Inf,0.0397630035717091,3.93798555758615e-05,0.991581122008484
"MS12-079","msword","PI",70,1,1788,FALSE,25,Inf,Inf,-0.0456699424051689,-0.00963252738381709,0.98396495431959
"opera_000","opera","PD",22,1,268,FALSE,426,1109,1218,0.000532377244808008,-7.85307807503036e-05,0.991592738739487
"opera_001","opera","PD",1,1,351,TRUE,323,Inf,Inf,0.0131463634799605,0.00116717655779431,0.999340090486209
"opera_002","opera","PD",28,1,428,FALSE,277,1679,Inf,0.00966853832698909,0.00084225505939779,0.999263052319635
"opera_003","opera","PD",14,1,166,FALSE,524,1258,1386,-0.000644411886740267,-0.000274031980783589,0.966249679620834
"opera_005","opera","PD",19,1,163,FALSE,443,923,991,0.00444918094086423,0.000280361362000612,0.98135324635146
"opera_006","opera","PD",10,1,163,FALSE,453,1037,1301,0.00444085042781786,0.000304441931132186,0.981654408526492
"opera_009","opera","PD",25,2,304,FALSE,387,1096,1139,0.00413445550527609,0.000604353254099763,0.985366219957637
"opera_010","opera","PD",26,1,351,FALSE,342,1352,Inf,0.00590741879300144,0.000508608910614025,0.999561468447694
"safari_000","safari","PD",12,1,681,FALSE,230,749,774,0.0097639076632429,0.000367067963547272,0.999742605333224
"safari_001","safari","PD",4,3,319,FALSE,458,Inf,Inf,0.0156842655787329,0.000925109753888061,0.992954758955158
"safari_002","safari","PD",7,46,890,TRUE,149,751,778,0.0107008265902096,0.000170727275366926,0.999224240599897
"safari_003","safari","PD",1,2,681,TRUE,120,775,851,0.0153076352735661,0.00056040542823147,0.999738886442303
"safari_004","safari","PD",1,2,525,FALSE,43,607,792,0.0385926283336734,0.00247079271083794,0.996832429455244
"safari_006","safari","PD",10,2,556,FALSE,208,804,835,0.00552967302722854,-0.000344949649722269,0.993764920401065
"safari_009","safari","PD",8,27,525,FALSE,151,807,Inf,0.0190687861245218,0.00115940588694326,0.99491624705182
"safari_010","safari","PD",29,1,1591,FALSE,169,Inf,Inf,0.0172018394981109,0.000977408167846392,0.999478440646668
"safari_011","safari","PD",2,1,556,FALSE,46,714,879,0.0171637253631853,-4.98967652609611e-05,0.996215513522539
"safari_012","safari","PD",3,3,265,FALSE,801,Inf,Inf,-6.60655291983816e-05,-3.02350586669181e-05,0.986137338990677
"safari_013","safari","PD",24,33,1297,TRUE,138,648,Inf,0.0119438964002329,0.000301869152924959,0.999834948057064
"safari_015","safari","PD",1,1,1429,FALSE,31,446,Inf,0.025270959855935,-0.000149167631667753,0.999856008740114
"safari_016","safari","PD",15,1,890,TRUE,164,667,687,0.00976174066879947,0.000154690876603159,0.999220772001039
"safari_017","safari","PD",27,2,1533,FALSE,106,570,Inf,0.0158207083368847,0.000242466057164056,0.999831428994381
"safari_018","safari","PD",1,1,1533,FALSE,47,Inf,Inf,0.0233442279944229,0.000230120399355802,0.999849470476605
"safari_019","safari","PD",2,2,169,FALSE,906,Inf,Inf,0.00924820579454168,0.0010686318994101,0.968855347615451
"safari_020","safari","PD",7,1,890,FALSE,149,751,778,0.0107008265902096,0.000170727275366926,0.999224240599897
"safari_021","safari","PD",11,1,589,FALSE,228,799,820,0.00886755873076073,0.000465471540540151,0.99980697242081
"safari_022","safari","PD",22,6,1164,FALSE,138,660,Inf,0.0204361595295987,0.000638368703548497,0.999378572750273
"safari_023","safari","PD",20,23,1053,FALSE,189,686,Inf,0.0165780745001564,0.00087846856176492,0.999629191636014
"safari_024","safari","PD",2,2,801,TRUE,108,764,Inf,0.0127350831666291,0.000151977309928118,0.999656255099942
"safari_025","safari","PD",3,1,801,FALSE,149,765,826,0.0103520132424042,0.000128813515234073,0.999677568284403
"safari_026","safari","PD",27,1,1533,FALSE,106,570,Inf,0.0158207083368847,0.000242466057164056,0.999831428994381
"safari_027","safari","PD",3,1,589,FALSE,89,800,896,0.0161379270037471,0.000902587728807686,0.999766314435098
"safari_028","safari","PD",6,16,801,TRUE,163,754,801,0.00959417944677883,0.000124319936304847,0.999685623903777
"safari_029","safari","PD",2,1,169,FALSE,906,Inf,Inf,0.00924820579454168,0.0010686318994101,0.968855347615451
"safari_030","safari","PD",1,1,410,FALSE,210,894,Inf,0.0118493258721516,0.000884228823849191,0.999344694922467
"safari_031","safari","PD",10,3,982,TRUE,188,776,Inf,0.00835432810116697,-0.000144136469404975,0.997678892135277
"safari_032","safari","PD",1,1,330,TRUE,116,Inf,Inf,0.030179632321792,0.00207661804495806,0.99981946456848
"safari_033","safari","PD",23,1,1200,FALSE,179,663,Inf,0.0118181233783553,0.000184051417936591,0.999496457619834
"safari_034","safari","PD",8,15,940,FALSE,129,776,Inf,0.00703767907014062,-0.000825684141395691,0.995931899664771
"safari_035","safari","PD",11,1,589,FALSE,228,799,820,0.00886755873076073,0.000465471540540151,0.99980697242081
"safari_036","safari","PD",1,1,1297,FALSE,70,871,Inf,0.0197205424595436,0.000416663600293801,0.999833674143517
"safari_037","safari","PD",1,3,265,FALSE,698,Inf,Inf,-3.09034722474664e-05,-4.1690802182323e-05,0.982360445116599
"safari_038","safari","PD",8,4,525,FALSE,151,807,Inf,0.0190687861245218,0.00115940588694326,0.99491624705182
"safari_039","safari","PD",6,3,410,FALSE,373,944,Inf,0.00706694209722107,0.000527915785045136,0.999315770994112
"safari_040","safari","PD",25,5,1374,TRUE,94,607,Inf,-0.000733072727154965,-0.00188428721103393,0.998239106199515
"safari_042","safari","PD",12,4,681,FALSE,230,749,774,0.0097639076632429,0.000367067963547272,0.999742605333224
"safari_044","safari","PD",1,3,890,TRUE,73,772,929,0.0176760946992786,0.00023816476926646,0.999286924671163
"wireshark_179","wireshark","MU",6,1,294,FALSE,Inf,Inf,Inf,0.0016192288676024,0.000169127979565278,0.961534432164417
"wireshark_180","wireshark","MU",27,2,1690,FALSE,Inf,Inf,Inf,0.00223074093162388,0.000182697777541961,0.998359648828033
"wireshark_181","wireshark","MU",23,1,894,FALSE,Inf,Inf,Inf,0.00298487954072645,0.000404371527919768,0.983892252161938
"wireshark_183","wireshark","MU",4,3,1348,FALSE,Inf,Inf,Inf,0.00774822497820467,0.000607186926968419,0.999038838536661
"wireshark_184","wireshark","MU",6,1,348,FALSE,Inf,Inf,Inf,0.000810737127061075,7.47590633138685e-05,0.963076094282072
"wireshark_185","wireshark","MU",14,1,633,FALSE,Inf,Inf,Inf,0.00131616308547481,4.62122397309848e-05,0.995360796980707
"wireshark_186","wireshark","MU",24,1,894,FALSE,Inf,Inf,Inf,0.00294128227421689,0.000397836163209659,0.983984928714768
"wireshark_187","wireshark","MU",6,2,294,FALSE,Inf,Inf,Inf,0.0016192288676024,0.000169127979565278,0.961534432164417
"wireshark_188","wireshark","MU",17,1,1023,FALSE,Inf,Inf,Inf,0.00177560169943491,0.000230771362216567,0.996881032166077
"wireshark_189","wireshark","MU",5,4,349,FALSE,Inf,Inf,Inf,0.00187467938082033,0.000216766896242034,0.967472133837624
"wireshark_191","wireshark","MU",6,1,1403,FALSE,Inf,Inf,Inf,-0.000521860974451766,-0.000147593720278382,0.992281076137534
"wireshark_192","wireshark","MU",19,1,767,TRUE,Inf,Inf,Inf,0.00135781397985685,6.27371568289721e-05,0.99163495556014
"wireshark_193","wireshark","MU",27,8,1690,FALSE,Inf,Inf,Inf,0.00223074093162388,0.000182697777541961,0.998359648828033
"wireshark_195","wireshark","MU",2,2,633,FALSE,Inf,Inf,Inf,0.00156560580920084,8.8524415947109e-05,0.989357124711122
"wireshark_196","wireshark","MU",9,1,570,FALSE,Inf,Inf,Inf,0.000331568849108531,1.70649933518742e-06,0.977430986416468
"wireshark_197","wireshark","MU",12,1,535,FALSE,Inf,Inf,Inf,0.000600224246945281,3.73935443220962e-05,0.988363686463716
"wireshark_198","wireshark","MU",18,2,1403,FALSE,Inf,Inf,Inf,-0.000266186802208099,-0.000105966399339584,0.994725091514143
